province,city,total,category
서울특별시,강남구,6486 ,교육
서울특별시,서초구,4218 ,교육
서울특별시,양천구,4118 ,교육
서울특별시,송파구,3456 ,교육
서울특별시,노원구,3215 ,교육
서울특별시,강서구,2554 ,교육
서울특별시,강동구,2519 ,교육
서울특별시,마포구,2471 ,교육
서울특별시,동작구,2317 ,교육
서울특별시,은평구,2284 ,교육
서울특별시,영등포구,2215 ,교육
서울특별시,서대문구,2071 ,교육
서울특별시,동대문구,2060 ,교육
서울특별시,광진구,2054 ,교육
서울특별시,관악구,2018 ,교육
서울특별시,성북구,1910 ,교육
서울특별시,구로구,1855 ,교육
서울특별시,종로구,1833 ,교육
서울특별시,도봉구,1712 ,교육
서울특별시,용산구,1398 ,교육
서울특별시,중랑구,1389 ,교육
서울특별시,성동구,1379 ,교육
서울특별시,강북구,1277 ,교육
서울특별시,금천구,1170 ,교육
서울특별시,중구,977 ,교육
