province,city,total,category
서울특별시,강남구,17872 ,음식
서울특별시,서초구,12675 ,음식
서울특별시,중구,12201 ,음식
서울특별시,종로구,10812 ,음식
서울특별시,마포구,10474 ,음식
서울특별시,영등포구,10306 ,음식
서울특별시,송파구,9824 ,음식
서울특별시,용산구,8353 ,음식
서울특별시,강서구,8294 ,음식
서울특별시,강동구,8210 ,음식
서울특별시,관악구,8078 ,음식
서울특별시,광진구,7561 ,음식
서울특별시,양천구,7225 ,음식
서울특별시,노원구,7221 ,음식
서울특별시,구로구,7095 ,음식
서울특별시,동작구,6805 ,음식
서울특별시,동대문구,6602 ,음식
서울특별시,서대문구,6527 ,음식
서울특별시,은평구,6394 ,음식
서울특별시,성북구,6357 ,음식
서울특별시,성동구,6110 ,음식
서울특별시,금천구,6024 ,음식
서울특별시,중랑구,5761 ,음식
서울특별시,강북구,5501 ,음식
서울특별시,도봉구,4988 ,음식
