province,city,total,category
서울특별시,강남구,23442 ,의료
서울특별시,서초구,13206 ,의료
서울특별시,송파구,7957 ,의료
서울특별시,영등포구,7187 ,의료
서울특별시,강동구,6758 ,의료
서울특별시,마포구,6491 ,의료
서울특별시,노원구,6480 ,의료
서울특별시,관악구,6371 ,의료
서울특별시,강서구,6355 ,의료
서울특별시,양천구,6185 ,의료
서울특별시,은평구,6176 ,의료
서울특별시,중구,6074 ,의료
서울특별시,동작구,5498 ,의료
서울특별시,구로구,5456 ,의료
서울특별시,동대문구,5455 ,의료
서울특별시,종로구,5450 ,의료
서울특별시,성북구,5341 ,의료
서울특별시,광진구,5338 ,의료
서울특별시,서대문구,5007 ,의료
서울특별시,성동구,4794 ,의료
서울특별시,중랑구,4785 ,의료
서울특별시,용산구,4302 ,의료
서울특별시,강북구,4286 ,의료
서울특별시,금천구,4099 ,의료
서울특별시,도봉구,3901 ,의료
