province,city,area_name,business_type,total,rank
서울특별시,강남구,강남역 아래,컴퓨터/주변기기,13598 ,1
서울특별시,강남구,압구정역,성형외과,11123 ,2
서울특별시,강남구,강남역 위,성형외과,9635 ,3
서울특별시,종로구,종각역 인근,서적/도서,6393 ,1
서울특별시,강남구,신사 논현역,성형외과,6140 ,4
서울특별시,종로구,광화문역 인근,서적/도서,5280 ,2
서울특별시,성동구,성수역주변,문구/팬시,4242 ,1
서울특별시,강남구,학동사거리 부근,성형외과,3931 ,5
서울특별시,강남구,강남역 위,치과,3895 ,6
서울특별시,강남구,강남역 위,피부과,3631 ,7
서울특별시,마포구,마포역,잡화,3561 ,1
서울특별시,구로구,고대구로병원사거리 인근,꽃집,3441 ,1
서울특별시,성동구,성수역주변,슈퍼마켓(일반),3371 ,2
서울특별시,강남구,압구정역,치과,3314 ,8
서울특별시,종로구,종각역 인근,한정식,3036 ,3
서울특별시,강남구,강남역 아래,치과,2986 ,9
서울특별시,용산구,한남동,꽃집,2700 ,1
서울특별시,강남구,압구정역,피부과,2668 ,10
서울특별시,금천구,협진교차로 인근,슈퍼마켓(일반),2555 ,1
서울특별시,관악구,서울대역 주변상권,일반병원,2505 ,1
서울특별시,노원구,노원역,일반병원,2410 ,1
서울특별시,강동구,고덕역인근,슈퍼마켓(일반),2326 ,1
서울특별시,서초구,교대역,치과,2317 ,1
서울특별시,종로구,종각역 인근,치과,2274 ,4
서울특별시,서초구,서울교대역-남부터미널역주변지역,자동차경정비,2228 ,2
서울특별시,성동구,성수역주변,자동차경정비,2199 ,3
서울특별시,서초구,반포_고속터미널주변,주유소,2165 ,3
서울특별시,강동구,천호역,슈퍼마켓(일반),2071 ,2
서울특별시,서초구,서울교대역-남부터미널역주변지역,주유소,2063 ,4
서울특별시,서초구,교대역,대입학원,2023 ,5
서울특별시,관악구,서울대역 주변상권,치과,2017 ,2
서울특별시,중구,"신당, 동대문 운동장역 부근",이동통신,2010 ,1
서울특별시,노원구,중계그린공원앞,슈퍼마켓(일반),1982 ,2
서울특별시,종로구,안국역 인근,한정식,1968 ,5
서울특별시,성동구,답십리역-용답역주변,일반병원,1960 ,4
서울특별시,노원구,노원역,피부과,1959 ,3
서울특별시,구로구,구로디지털공단역 인근,일반병원,1942 ,2
서울특별시,강동구,천호역,치과,1941 ,3
서울특별시,동작구,사당역,치과,1866 ,1
서울특별시,종로구,종각역 인근,분식,1866 ,6
서울특별시,서초구,교대역,한정식,1862 ,6
서울특별시,중구,서울역 회현역 주변,안경,1854 ,2
서울특별시,금천구,시흥유통상가,자동차경정비,1848 ,2
서울특별시,송파구,삼전동,자동차경정비,1840 ,1
서울특별시,중구,"신당, 동대문 운동장역 부근",남성의류,1838 ,3
서울특별시,중구,"신당, 동대문 운동장역 부근",편의점,1837 ,4
서울특별시,강서구,가양동,슈퍼마켓(일반),1789 ,1
서울특별시,도봉구,창동역,슈퍼마켓(일반),1782 ,1
서울특별시,서대문구,신촌역,치과,1761 ,1
서울특별시,종로구,종각역 인근,정통호프,1734 ,7
서울특별시,종로구,종각역 인근,스테이크 전문점,1719 ,8
서울특별시,마포구,마포역,치과,1711 ,2
서울특별시,영등포구,영등포 시장역 인근,일반병원,1698 ,1
서울특별시,서대문구,신촌역,피부과,1685 ,2
서울특별시,중구,명동역 주변,남성의류,1671 ,5
