province,city,total,category
서울특별시,강남구,38476 ,전체
서울특별시,서초구,23099 ,전체
서울특별시,송파구,19646 ,전체
서울특별시,영등포구,17657 ,전체
서울특별시,중구,17627 ,전체
서울특별시,마포구,16067 ,전체
서울특별시,종로구,15648 ,전체
서울특별시,강동구,14585 ,전체
서울특별시,강서구,14574 ,전체
서울특별시,양천구,14154 ,전체
서울특별시,노원구,13777 ,전체
서울특별시,광진구,13254 ,전체
서울특별시,구로구,13167 ,전체
서울특별시,관악구,13094 ,전체
서울특별시,은평구,12545 ,전체
서울특별시,용산구,12531 ,전체
서울특별시,성동구,12489 ,전체
서울특별시,동대문구,12058 ,전체
서울특별시,동작구,12055 ,전체
서울특별시,성북구,11488 ,전체
서울특별시,중랑구,10888 ,전체
서울특별시,서대문구,10814 ,전체
서울특별시,금천구,10611 ,전체
서울특별시,도봉구,9758 ,전체
서울특별시,강북구,9621 ,전체
