province,city,total,category
서울특별시,강남구,22154 ,소매
서울특별시,송파구,14045 ,소매
서울특별시,서초구,12623 ,소매
서울특별시,영등포구,11699 ,소매
서울특별시,중구,10740 ,소매
서울특별시,종로구,9437 ,소매
서울특별시,성동구,9413 ,소매
서울특별시,마포구,9273 ,소매
서울특별시,양천구,9222 ,소매
서울특별시,강서구,9186 ,소매
서울특별시,강동구,9148 ,소매
서울특별시,구로구,9035 ,소매
서울특별시,노원구,8782 ,소매
서울특별시,광진구,8716 ,소매
서울특별시,은평구,8120 ,소매
서울특별시,동대문구,7885 ,소매
서울특별시,용산구,7865 ,소매
서울특별시,동작구,7543 ,소매
서울특별시,중랑구,7390 ,소매
서울특별시,금천구,7335 ,소매
서울특별시,성북구,7305 ,소매
서울특별시,관악구,7126 ,소매
서울특별시,도봉구,6962 ,소매
서울특별시,서대문구,6134 ,소매
서울특별시,강북구,6087 ,소매
